key_retro,name_last,name_first
storm001,Storey,Mickey
wesle101,Wesley,Edgar
snydj102,Snyder,Jack
cinta001,Cintrón,Alex
lockr101,Locke,Ron
harda101,Hardy,Alex
vasqa002,Vasquez,Andrew
stews002,Stewart,Shannon
hunth101,Hunter,Herb
knauj901,Knauss,Jim
white106,White,Ed
noled001,Noles,Dickie
martr003,Martínez,Ramón
santn001,Santovenia,Nelson
arunh101,Arundel,Harry
shepj101,Sheppard,John
oldfd101,Oldfield,Dave
lolim101,Lolich,Mickey
moode001,Moody,Eric
lindv101,Lindaman,Vive
cuetj001,Cueto,Johnny
blanh101,Blankenship,Homer
boydj001,Boyd,Jason
crisc001,Crisp,Coco
schod101,Schofield,Dick
youna001,Young,Anthony
bordp001,Borders,Pat
malom001,Maloney,Matt
ferns001,Fernandez,Sid
barnv103,Barnes,Vet
bluej101,Bluejacket,Jim
josek001,Joseph,Kevin
romos001,Romo,Sergio
britt001,Brito,Tilson
peguf001,Peguero,Francisco
carer001,Carew,Rod
ferrb102,Ferrazzi,Bill
valdf102,Valdés,Faustino
thomd002,Thompson,Derek
keelw101,Keeler,Willie
sloch001,Slocumb,Heathcliff
calvj101,Calvo,Jack
castc002,Castillo,Carlos
dejer901,De Jesus,Ramon
tommu101,Tomm,
barbt101,Barber,Turner
dolac102,Dolan,Cozy
valeb103,Valentine,Bob
unrot001,Unroe,Tim
stalj001,Stallings,Jacob
burdp001,Burdick,Peyton
hellu101,Hellings,
rosst001,Ross,Tyson
sweeb103,Sweeney,Bill
collj102,Collum,Jackie
kiefj101,Kiefer,Joe
swarb101,Swartz,Bud
burkb001,Burke,Brock
bowdb001,Bowden,Ben
nootl001,Nootbaar,Lars
edgij001,Edgin,Josh
tugel101,Tugerson,Leander
schmd101,Schmidt,Dave
rom-d001,Rom,Drew
lemad001,LeMahieu,DJ
knolp101,Knoll,Punch
portj101,Porter,Jay
sprah102,Spragins,Homer
johnj112,Johnson,Jack
reyev001,Reyes,Víctor
wojcs001,Wojciechowski,Steve
adair801,Adair,Rick
schwc001,Schwinden,Chris
gregk001,Gregg,Kevin
washc001,Washington,Claudell
menda001,Méndez,Adalberto
morrl001,Morrison,Logan
dascd001,Dascenzo,Doug
oneas101,O'Neal,Oran
dunaj001,Dunand,Joe
tillr001,Tillman,Rusty
schaj901,Schaly,Jim
lee-c005,Lee,Chase
murpm102,Murphy,Mike
johnt104,Johns,Tommy
maddc101,Maddern,Clarence
macph101,MacPherson,Harry
blact101,Blackwell,Tim
lafie101,Lafitte,Ed
meinw101,Meinert,Walt
culln102,Cullop,Nick
speac101,Spearman,Charlie
allim101,Allison,Milo
frieb104,Friedrichs,Bob
welct102,Welch,Tub
reedi101,Reeder,Icicle
matol001,Matos,Luis
delor101,de los Santos,Ramón
oylea101,Oyler,Andy
tabaj002,Tábata,José
barrj003,Barría,Jaime
fairr102,Faircloth,Rags
woodj107,Wood,Jake
mansl101,Manske,Lou
mackg101,MacKenzie,Gordon
martm101,Martin,Morrie
sherf101,Sherry,Fred
johnm103,Johnson,Mex
fialt101,Fiall,Tom
reync101,Reynolds,Charlie
day-c102,Day,Connie
penat002,Peña,Tony
dishg001,Dishman,Glenn
goodc101,Goodwin,Clyde
waitc101,Waitt,Charlie
mcfae101,McFarland,Ed
jacka002,Jackson,Alex
lockj101,Lockman,James
bakep101,Baker,Phil
leigj101,Leighton,John
mcgrt001,McGraw,Tug
muelr101,Mueller,Ray
duenb001,Duensing,Brian
vanzd101,Van Zant,Dick
sizet101,Sizemore,Ted
sandj101,Sanders,John
velag001,Velasquez,Guillermo
sullm102,Sullivan,Mike
woodw101,Woodward,Woody
lillb001,Lillibridge,Brent
kirrj101,Kirrene,Joe
osind101,Osinski,Dan
wilss101,Wilson,George
grahb102,Grahame,Bill
longe001,Longoria,Evan
santg001,Santos,Gregory
bishb102,Bishop,Bill
nichk001,Nicholson,Kevin
hambm001,Hamburger,Mark
mulls002,Mullen,Scott
leutu101,Lenz,David
bonig901,Bonin,Greg
pottd102,Potter,Dykes
jonej106,Jones,Jake
fincu101,Finch,
hansd102,Hanski,Don
munop001,Muñoz,Pedro
chepj901,Cheppu,John
steek001,Steenstra,Kennie
cumms001,Cummings,Steve
chrin101,Chrisley,Neil
crofh101,Croft,Harry
mejij002,Mejía,J. C.
laxtb101,Laxton,Bill
gossr001,Gossage,Rich
manne101,Manning,Ernie
rivec001,Rivera,Carlos
valeg001,Valera,George
langw001,Langford,Wyatt
reynr002,Reynolds,Ronn
rivem003,Rivera,Mike
kravd101,Kravitz,Danny
walkw101,Walker,Welday
beecm001,Beech,Matt
polaj001,Polanco,Jorge
morrj106,Morris,John
cox-a001,Cox,Austin
munor002,Muñoz,Rolddy
hollj101,Holloway,Jim
pores101,Poree,Salvador
lucrj001,Lucroy,Jonathan
jordr002,Jordan,Ricardo
tayla102,Taylor,Alfred
mengd001,Mengden,Daniel
kells001,Kelley,Shawn
gilml102,Gilmore,Lefty
korea101,Kores,Art
martk003,Martin,Kyle
wisem001,Wise,Matt
snydk001,Snyder,Kyle
borbp001,Borbón,Pedro
jestv101,Jester,Virgil
cavah901,Cavanaugh,Harry
kirka001,Kirk,Alejandro
haywr101,Hayworth,Ray
pilip801,Pilittere,P. J.
lohrb101,Lohrman,Bill
michc101,Michaels,Cass
hogah101,Hogan,Malachi
garce001,García,Edgar
boydg101,Boyd,Gary
shecj101,Sheckard,Jimmy
refsr001,Refsnyder,Rob
espyc001,Espy,Cecil
drisd102,Driscoll,Dennis
johnr701,Johnson,Rodney
tomst101,Toms,Tommy
abboo101,Abbott,Ody
battp001,Battenfield,Peyton
haddh101,Haddix,Harvey
delpm001,Del Pozo,Miguel
boarg101,Board,George
orant101,Oran,Tom
dezez001,Dezenzo,Zach
owinc001,Owings,Chris
baerc001,Baerga,Carlos
moorr101,Moore,Ray
walsm801,Walsh,Mike
bartl101,Bartholomew,Les
eastr701,Easton,Ryan
whitp103,Whitney,Pinky
delsg101,Del Savio,Garton
soueh101,Souell,Herb
markg101,Markland,Gene
murpj001,Murphy,J. R.
